donor,epsilon,converged,foscttm,label_transfer_accuracy,alignment_score,rmse,nmi,asw_label,ari,asw_batch,graph_connectivity
s1d1,0.001,True,0.3467,0.4389460154241645,0.8389105128949332,0.25751,0.5601838593783135,0.5135160489007831,0.4477338734837427,0.69668395632188,0.729149322578959
s1d1,0.005,True,0.2344,0.5126928020565553,0.7769456422588938,0.22539517,0.602398741070373,0.5278674438595772,0.4348552903062627,0.518206711592922,0.714578967120584
s1d1,0.01,True,0.0902,0.6611503856041131,0.6748253379218841,0.20439534,0.6155081476953765,0.519290491938591,0.4153503174100007,0.4617591723462056,0.7600724384296809
s1d1,0.05,True,0.405,0.134318766066838,0.0682542603035077,0.2353782,0.459603084093643,0.50239286897704,0.2688021163680297,0.4324788127903948,0.4225173651053613
s1d1,0.1,True,0.4123,0.134318766066838,0.0638695683721701,0.23553324,0.4522159083375481,0.502196648856625,0.2738382951472062,0.4321329385452936,0.4228396328074777
s1d1,0.5,True,0.4139,0.134318766066838,0.0621721846753462,0.23559183,0.4629516813049204,0.5018328850856051,0.2810040163678893,0.4319972132796027,0.4236250759684407
s1d2,0.001,True,0.1491,0.7495548961424332,0.8393219363125027,0.22431315,0.6206590127535846,0.5202421583235264,0.559833733961914,0.7443571173212825,0.8652710235123234
s1d2,0.005,True,0.1076,0.7341246290801187,0.7647426812524913,0.20652741,0.6052957142293507,0.5311668291687965,0.5081220571729306,0.5332954874867164,0.888282034789974
s1d2,0.01,True,0.1085,0.6695845697329377,0.6001029717879447,0.21324608,0.5197999892302454,0.519693786278367,0.3259181600319841,0.4837805631184943,0.6538937662946379
s1d2,0.05,True,0.4074,0.1912462908011869,0.0759411399973425,0.23538695,0.3914244669715014,0.4998245296155801,0.2223004657879461,0.4262561202966506,0.4434650471657996
s1d2,0.1,True,0.4075,0.1912462908011869,0.0728043757473757,0.23549509,0.3904111311377433,0.4995259870484005,0.2163878170812646,0.4259154658759413,0.4422399647652275
s1d2,0.5,True,0.4047,0.1912462908011869,0.0713572345985208,0.23554717,0.3941585081201106,0.499293502070941,0.2243950648690686,0.4257464237573473,0.44107014434819
s1d3,0.001,True,0.5127,0.1430240710446366,0.8449582777724316,0.27952313,0.4660545009351036,0.494426405057311,0.2808467026073996,0.6948626805766812,0.6938003918276315
s1d3,0.005,True,0.5578,0.0946482823089506,0.7524077918150199,0.2559325,0.4736892467550692,0.5026449675206095,0.2009272894444005,0.5351839551690517,0.6638216731128478
s1d3,0.01,True,0.4851,0.2051881280673054,0.4904719354439601,0.23625572,0.568488338654029,0.5014182351296768,0.2947197150561188,0.4860710645405445,0.5642163321023937
s1d3,0.05,True,0.4179,0.1245618135078289,0.0632940626589502,0.22910482,0.4565628001122888,0.5006841785507277,0.228284705202209,0.4337051529390102,0.4675841184774347
s1d3,0.1,True,0.4148,0.1245618135078289,0.0602642178628871,0.22922024,0.4477214930994923,0.5004774081462529,0.2241966908070077,0.433326285128872,0.4759646698961061
s1d3,0.5,True,0.4122,0.1245618135078289,0.0589032621695557,0.22927794,0.4595947842873832,0.5001634104992263,0.2304165902846779,0.4331409001006114,0.4765279172723015
s2d1,0.001,True,0.5423,0.0658767772511848,0.8449306025727827,0.27655768,0.3289627127842342,0.4929300933144986,0.1560227874216101,0.7030365062269703,0.6919177957538073
s2d1,0.005,True,0.5167,0.1606635071090047,0.7277505077860528,0.24722412,0.4810651616446638,0.5067513473331928,0.3160296983713284,0.4948064368754661,0.607160768058175
s2d1,0.01,True,0.5075,0.1786729857819905,0.6044685172647257,0.2411891,0.4911432944406971,0.5012380224652588,0.2928895308296867,0.448745257927065,0.5088655406597582
s2d1,0.05,True,0.4699,0.309952606635071,0.1579214624238319,0.23557056,0.4064922839821657,0.4987427070736885,0.2611023101091023,0.3993299673559458,0.3121346986845174
s2d1,0.1,True,0.4689,0.309952606635071,0.1504034078086208,0.23561573,0.3969285013887726,0.4983889532741159,0.2536893922649224,0.398868096794765,0.3250387816060665
s2d1,0.5,True,0.4669,0.309952606635071,0.147320018054615,0.23563705,0.3904900850006393,0.4981296570040285,0.2477328511357754,0.3986755418022137,0.3222277431411471
s2d4,0.001,True,0.2833,0.5108820160366552,0.8322897972213503,0.24462107,0.5467912854388707,0.5162152033299208,0.5039669631445884,0.6907706151120543,0.8348494151881426
s2d4,0.005,True,0.1171,0.7277041400752741,0.7356674741329127,0.21187346,0.5693482513485937,0.5265446547418833,0.4078826081836935,0.4910937023846229,0.7743993606148333
s2d4,0.01,True,0.1776,0.5270823105874652,0.485047120081766,0.22296531,0.5001510001335591,0.5097361076623201,0.2865637455493482,0.4318794538229086,0.5218381997048029
s2d4,0.05,True,0.4326,0.0630011454753722,0.1069879362933274,0.23562452,0.3011211379979068,0.5005430740420707,0.2301497148094712,0.4065986844605449,0.4021309467474839
s2d4,0.1,True,0.4497,0.0630011454753722,0.1066526097791942,0.23562837,0.2608684465591599,0.5005307136452757,0.206809991107645,0.4065470175691373,0.4085272469595317
s2d4,0.5,True,0.4618,0.0630011454753722,0.1064380008101488,0.23562996,0.2509609452747352,0.5005260758334771,0.1625116889492668,0.4065086182216427,0.4050142318867422
s2d5,0.001,True,0.2233,0.8145045965270684,0.8495940524204163,0.23467565,0.6703909739755283,0.5148802371695638,0.6907746830457283,0.6701098547707481,0.8472374978065034
s2d5,0.005,True,0.3342,0.4813074565883554,0.7144888009014037,0.23341197,0.5440673851856674,0.5119380904361606,0.3582238493961752,0.4721720865813167,0.7446701337220498
s2d5,0.01,True,0.2195,0.52829417773238,0.4595452965891979,0.2260998,0.469144493231294,0.5047086081467569,0.2776194774101978,0.4272347140570004,0.5016486389058933
s2d5,0.05,True,0.3696,0.350561797752809,0.1821909585838694,0.23527363,0.4145922037006277,0.4977389848791063,0.2553920399660239,0.4137727589864222,0.4253773398519921
s2d5,0.1,True,0.3811,0.350561797752809,0.1714457209650074,0.23549135,0.3981767528138284,0.4971863119862973,0.2487608300875913,0.4134826608866098,0.4226658788957946
s2d5,0.5,True,0.3872,0.350561797752809,0.1688973600244306,0.23553936,0.3703391820119437,0.4968238056171685,0.2345658772628649,0.4134105729844938,0.383461718757012
s3d10,0.001,True,0.287,0.4676301430467482,0.8414240224592681,0.23993258,0.6249930105643667,0.5157432164996862,0.5533356186385863,0.6577077152527322,0.8126877762384794
s3d10,0.005,True,0.1999,0.5378262793098363,0.7675585923631936,0.20972455,0.6605408744259118,0.530171500518918,0.4693743120160922,0.4836996945454173,0.8469689106704492
s3d10,0.01,True,0.2042,0.5378262793098363,0.6873027577053533,0.21002896,0.6563616136977526,0.5271522998809814,0.4262945587304698,0.4631987586881173,0.7091564241799814
s3d10,0.05,True,0.393,0.2363958118271641,0.070455029576103,0.22901139,0.4828169781738411,0.5032249737996608,0.2898299562513914,0.4369366439339913,0.4664383577874444
s3d10,0.1,True,0.3969,0.2363958118271641,0.067913068650423,0.22911765,0.4767452203173721,0.5024531546514481,0.2908047947497195,0.4367069526129656,0.46508753868234
s3d10,0.5,True,0.3996,0.2363958118271641,0.0667300245238603,0.22916321,0.4598284326268387,0.5020393747836351,0.2974477343386923,0.4365912703032984,0.464965047670384
s3d3,0.001,True,0.3311,0.3630057803468208,0.8343460142492272,0.25862467,0.5654458760589132,0.5131981940940022,0.4706854903982689,0.7383819881514012,0.8869183819726703
s3d3,0.005,True,0.2737,0.3502890173410404,0.717859927409598,0.23005086,0.5670904642396993,0.5097196092829108,0.4686942398262872,0.5438457318618178,0.8003628670514622
s3d3,0.01,True,0.2617,0.3787283236994219,0.5084366178249764,0.22500719,0.5959031573406813,0.5098154516890645,0.381724040503253,0.4832313463465207,0.648282308019105
s3d3,0.05,True,0.4549,0.1976878612716763,0.0376367791369808,0.23536672,0.4233345666137304,0.5030118394643068,0.2710277354730141,0.4357464374842363,0.4627778337187943
s3d3,0.1,True,0.4558,0.1976878612716763,0.0369673343191291,0.2353876,0.4189958182985988,0.5029285401105881,0.2758005035736327,0.4356069067934088,0.4618399949378452
s3d3,0.5,True,0.4499,0.1976878612716763,0.0366070708428553,0.23540002,0.4017944926705442,0.5028709613252431,0.2698686934721139,0.435518848988874,0.4599410151714349
s3d6,0.001,True,0.504,0.1929720071471113,0.881116104463335,0.29765928,0.2579772393048404,0.4842597302049398,0.1538932486859587,0.7527319480498869,0.6454190428536886
s3d6,0.005,True,0.5531,0.0553901131625967,0.7023661270236614,0.26030198,0.2897619489360144,0.4935837364755571,0.0838505459429674,0.5109189790457176,0.5966315725251068
s3d6,0.01,True,0.4742,0.2298987492555092,0.3234970310610573,0.24511547,0.3133304820234917,0.4875861434265971,0.1149806745161596,0.4291642091529916,0.47221987707233
s3d6,0.05,True,0.4818,0.1643835616438356,0.1148771815835544,0.24242465,0.2905274052664164,0.4934299965389073,0.0852325889665297,0.408450374542707,0.3900217651464803
s3d6,0.1,True,0.4816,0.1643835616438356,0.1106899850199433,0.24244516,0.2908015197720018,0.4933121395297348,0.1015466575337662,0.4082510536897628,0.3846798848045999
s3d6,0.5,True,0.4831,0.1643835616438356,0.1085963867381377,0.24245624,0.2968468173914169,0.4930507917888462,0.091622581466606,0.4081541277781146,0.3863418031331849
s3d7,0.001,True,0.375,0.4703557312252964,0.883358877147697,0.26622298,0.379698669382442,0.4892725432291627,0.489848212848798,0.7409330475787645,0.6294953854341865
s3d7,0.005,True,0.269,0.445511010728402,0.7197709123174962,0.2301378,0.3716123062183019,0.4906282369047403,0.4567885223393732,0.4583797963618312,0.6652324077398089
s3d7,0.01,True,0.2534,0.4330886504799548,0.5457933370976848,0.22822258,0.3511790742890586,0.4899419797584414,0.1933453878428755,0.4080093943253103,0.4649774144354646
s3d7,0.05,True,0.4255,0.3805759457933371,0.2614826167621199,0.23561035,0.2912267798539446,0.4927585930563509,0.1821137299920265,0.3828487747914456,0.3214022896404037
s3d7,0.1,True,0.4324,0.3805759457933371,0.2600306525772363,0.2356294,0.2887732183286486,0.4926276300102472,0.1865822833435913,0.3827856692388259,0.2946559028916115
s3d7,0.5,True,0.4382,0.3805759457933371,0.2593530692909573,0.23563616,0.2728042204872886,0.4925826624967158,0.1690932300834256,0.3827500525196362,0.2959044112313841
s4d1,0.001,True,0.4174,0.1341144210395114,0.8294014084507044,0.3009498,0.4836623178735804,0.5027734902687371,0.3367091950932384,0.7318729189946561,0.8487878874238175
s4d1,0.005,True,0.4047,0.1179110058581578,0.6670011217748971,0.2670281,0.5447113138833968,0.5123635698109865,0.3181952741941576,0.59287347939246,0.7321954189649231
s4d1,0.01,True,0.4199,0.0691761186588557,0.4204466845319705,0.2567606,0.5763796721378448,0.5031704332213849,0.3357730690402633,0.5216633759464621,0.5338674203586413
s4d1,0.05,True,0.4278,0.1263866384145581,0.0040781191574226,0.24976239,0.3916483034631983,0.5079465201124549,0.244458701876039,0.4369190946284899,0.4788493590219654
s4d1,0.1,True,0.4317,0.1263866384145581,0.0038794715193816,0.24979357,0.3836442051569768,0.507791715208441,0.2453580077240282,0.4366335323226782,0.4798789146080472
s4d1,0.5,True,0.4336,0.1263866384145581,0.0037852112676055,0.24981079,0.3706811481588087,0.5077061210758984,0.2497554043114718,0.4364589821122561,0.4800828801524565
s4d8,0.001,True,0.4403,0.2869582827055488,0.806352065099621,0.28131717,0.4219075004445242,0.4880078947171569,0.3444324372608667,0.7077237467683386,0.7900644958186481
s4d8,0.005,True,0.4193,0.2865532604293236,0.6563524762897492,0.25335228,0.4797411879640106,0.4921036325395107,0.2021875661132353,0.5946814740324159,0.6874156536595715
s4d8,0.01,True,0.2538,0.605609558525719,0.4406652645083297,0.22340454,0.4875388111845365,0.508654123172164,0.2110757488303122,0.5376532493104776,0.6248417993902864
s4d8,0.05,True,0.4317,0.4140340218712029,0.0162882689512392,0.2352628,0.318490522576865,0.5029704621993005,0.158570614268783,0.4384219680778784,0.4776331529518486
s4d8,0.1,True,0.438,0.4140340218712029,0.0152299683589194,0.23534104,0.3072135537714657,0.5025996705517173,0.1713825022318697,0.4374043300311893,0.4779085946558609
s4d8,0.5,True,0.4413,0.4140340218712029,0.0147231765259778,0.23537803,0.315703998986073,0.5023054499179125,0.1744438445834698,0.4368859359910302,0.478889502603713
s4d9,0.001,True,0.3168,0.4298265895953757,0.8364188735045034,0.2612318,0.575638997515817,0.5073451772332191,0.5163775048808206,0.7269810026441043,0.7669458104074047
s4d9,0.005,True,0.2107,0.5290173410404624,0.6368947439171931,0.21720845,0.6129468717330878,0.522516768425703,0.5393165684880951,0.5647918701291483,0.8477613870804968
s4d9,0.01,True,0.148,0.578728323699422,0.3191880629116818,0.2120175,0.5735667835327253,0.5156706962734461,0.3563827238799201,0.4735812800916206,0.5998416523193908
s4d9,0.05,True,0.4437,0.2073988439306358,0.0156284446834251,0.23538202,0.358277703777313,0.5042926678434014,0.2452063400574742,0.4327906108518458,0.4734367461788498
s4d9,0.1,True,0.4512,0.2073988439306358,0.0152923780077968,0.23540062,0.3506422498968047,0.5042078676633537,0.2405399870697427,0.4325341640399445,0.469577118143946
s4d9,0.5,True,0.4541,0.2073988439306358,0.0151014921360399,0.23541127,0.3356069344111448,0.5041617113165557,0.2459489474722338,0.4323667039161639,0.4650319007306999
